"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1274341049184501760","Sat Jun 20 13:59:16 +0000 2020","0","Atasi Banjir Bandang Normalisasi Batang Bawan Segera Diwujudkan Perencanaan normalisasi sungai Batang Bawan Kecamatan Ampek Nagari Kabupaten Agam Sumatera Barat (Sumbar) sudah mulai dilakukan Dinas https://t.co/MDGwXNqYBz","1274341049184501760","","","in","Padang Timur, Indonesia","0","0","0","https://twitter.com/sumbarfokus1/status/1274341049184501760","1027132596134731776","sumbarfokus1"
"1272313447573671937","Sun Jun 14 23:42:18 +0000 2020","0","SOLOK SELATAN - SUMATERA BARAT AKSI SOLOK SELATAN PEDULI Diperpanjang hingga hari Jumat 19 Juni 2020. Kami mengajak dan mengundang teman-teman untuk bisa berdonasi untuk korban banjir bandang yang terjadi di Gorontalo. #solokselatanpeduli #solokselatan #sumbar #gorontalo https://t.co/ABIvalAvuG","1272313447573671937","https://pbs.twimg.com/ext_tw_video_thumb/1272312640946069507/pu/img/XZ50w00esvxI4DUP.jpg","","in","Kota Padang, Sumatera Barat","0","1","1","https://twitter.com/RomiPutraHasan/status/1272313447573671937","1040387263362822144","RomiPutraHasan"
"1268443415542464521","Thu Jun 04 07:24:11 +0000 2020","0","#Sumbar Nagari Tanjung Sani Dilanda Banjir Bandang https://t.co/ZHLvhjJomE","1268443415542464521","","","in","Sumatera Barat","0","0","0","https://twitter.com/BeritaSumbar_ID/status/1268443415542464521","1034195042","BeritaSumbar_ID"
"1248861328833277952","Sat Apr 11 06:31:58 +0000 2020","0","2010 : ° Gempa &amp; Tsunami di Kep. Mentawai Sumbar ° Erupsi Gunung Merapi di DIY &amp; Jateng ° Banjir bandang di Wasior Papua 2020 : ....?","1248861328833277952","","","in","Solomon Islands","0","0","0","https://twitter.com/anwarhadidnt/status/1248861328833277952","162584057","anwarhadidnt"
"1247083130365693955","Mon Apr 06 08:46:02 +0000 2020","1","BANJIR BANDANG TADAH DATAR BAZNAS TANGGGAP BENCANA (BTB) Kab. Tanah Datar Sumbar membantu evakuasi korban banjir bandang di Jorong Guguak Nagari Guguak Malalo Kec. Batipuah Selatan pada hari Ahad 05/04/20. Kondisi ini menambah beban para korban ditengah pandemik #COVID19 https://t.co/sxEnzgmefm","1247083130365693955","https://pbs.twimg.com/ext_tw_video_thumb/1247083023998177280/pu/img/EbGBlvBA0CpQTFv7.jpg","","in","JekarDah","0","1","0","https://twitter.com/Fitriansyah_AS/status/1247083130365693955","200553887","Fitriansyah_AS"
"1229601852867694592","Tue Feb 18 03:01:41 +0000 2020","10","Terjang medang Ekstrim tim #Satgana @pmisumbar distribusikan logistik berupa Hygiene Kit Terpalulin dan Baju Baru bagi masyarakat korban #banjir bandang dan longsor di Nagari Muaro Kec. Mapat Tunggul Selatan Kab. Pasaman #sumbar @palangmerah @Pak_JK @sudirmansaid https://t.co/JHRR3M7IeC","1229601852867694592","https://pbs.twimg.com/media/ERBsWVfXUAAYfCg.jpg","","in","ÜT: -6.24037,106.83327","0","0","4","https://twitter.com/RidwanCarman/status/1229601852867694592","35172742","RidwanCarman"
"1226165013657923584","Sat Feb 08 15:24:54 +0000 2020","0","Banjir Bandang Batang Laweh Video Rec dari kenagarian muarobodi kec.IV Nagari kab.sijunjung Sumbar. https://t.co/uOijljE3XN","1226165013657923584","https://pbs.twimg.com/ext_tw_video_thumb/1226163891006107648/pu/img/K64Pf5vaDn0OM_Cr.jpg","","in","","0","0","0","https://twitter.com/DededPatopang/status/1226165013657923584","1200207968479797248","DededPatopang"
"1226030320450965504","Sat Feb 08 06:29:41 +0000 2020","0","Banjir Bandang Terjang Sijunjung Sumbar - https://t.co/xRtxP39zai","1226030320450965504","","","in","Indonesia","0","0","0","https://twitter.com/Berita7dotid/status/1226030320450965504","895307117174730752","Berita7dotid"
"1226001814610333696","Sat Feb 08 04:36:25 +0000 2020","0","Banjir Bandang Terjang Sijunjung Sumbar https://t.co/blg5jNMBOr","1226001814610333696","","","in","","0","0","0","https://twitter.com/mag_berita/status/1226001814610333696","1197765630964846592","mag_berita"
"1225998103905353730","Sat Feb 08 04:21:40 +0000 2020","6","Banjir Bandang Terjang Sijunjung Sumbar https://t.co/7P7hgj80qf","1225998103905353730","","","in","Indonesia","0","0","1","https://twitter.com/geloraco/status/1225998103905353730","3319260420","geloraco"
